instance_id,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
50010,Chromeo,Come Alive (feat. Toro Y Moi),0ZulY8etRzj54NLYOYX7jy,43,0.225,0.845,238680,0.746,8.80E-05,F,0.0785,-5.655,Minor,0.0383,129.97,4-Apr,0.961,Alternative
50011,Sango,How Do You Love Me,1jgkBLmR16qqZzEG5LYZN5,47,0.665,0.862,166154,0.342,8.19E-05,A#,0.102,-10.095,Minor,0.0551,129.992,4-Apr,0.177,Alternative
50012,Counting Crows,Omaha,50o13VmOJiUj3WfU7XmEAn,48,0.238,0.59,219400,0.517,0,A,0.182,-9.239,Major,0.0312,80.883,4-Apr,0.566,Alternative
50013,Bullet For My Valentine,Over It,5BRGRuHRfvGgoIvZg3PE3x,60,7.69E-05,0.374,-1,0.971,0,B,0.322,-4.284,Minor,0.0697,97.625,4-Apr,0.701,Alternative
50014,Shinedown,Asking For It,0BpgI6YcYv3ENGLp7XJsAH,58,0.00273,0.449,-1,0.971,0,A#,0.141,-3.66,Major,0.0476,144.031,4-Apr,0.414,Alternative
50015,Halestorm,Do Not Disturb,13PqmoiHO8rzblmaNFHY4g,53,0.014,0.696,-1,0.821,0,D,0.0421,-2.981,Minor,0.0483,127.006,4-Apr,0.604,Alternative
50016,empty_field,Jump the Gun,5bUVHuzQh5mkvMPjUU074i,42,0.015,0.596,-1,0.925,0.018,A,0.38,-3.381,Major,0.0731,166.759,4-Apr,0.798,Alternative
50017,Sixx:A.M.,Rise,4FXHLmzOMGLy5jFj6ctDsn,48,0.0016,0.323,-1,0.979,0.00192,A#,0.349,-2.82,Major,0.128,178.126,4-Apr,0.294,Alternative
50018,Electric Guest,Oh Devil - Radio Version,3PYtlkObLFZ2SaFjS4TyJR,57,0.184,0.894,217387,0.565,0.00668,G,0.224,-5.484,Minor,0.0788,96.987,4-Apr,0.686,Alternative
50019,Kali Uchis,Gotta Get Up - Interlude,2KY0QUeRY3IPuJI1gyU9BJ,51,0.605,0.488,113270,0.381,0.0872,D#,0.0776,-8.095,Minor,0.0498,140.941,4-Apr,0.217,Alternative
50020,Escape the Fate,One For the Money,1wvb6sx0YBVDKi0irNq6rZ,60,0.000328,0.525,199950,0.964,5.50E-06,F,0.0527,-3.451,Minor,0.0571,90.013,4-Apr,0.385,Alternative
50021,Leven Kali,Smile,79woh4cqt4QDthuMYen8P3,59,0.192,0.772,218051,0.551,0.00175,C,0.108,-8.667,Major,0.099,104.969,4-Apr,0.635,Alternative
50022,empty_field,Lunar,1zS4PMsHfkSXPkzrEkCkC6,47,0.166,0.767,247395,0.682,0.00176,A#,0.141,-8.29,Minor,0.0528,111.609,4-Apr,0.622,Alternative
50023,empty_field,This Head I Hold,0WfIxPOaRIDCtDWCmJushk,53,0.0255,0.596,-1,0.871,0.0101,D,0.249,-4.912,Minor,0.0375,80.939,4-Apr,0.961,Alternative
50024,Staind,Mudshovel,3BucMqBqIR5Aw7MrUkF00y,60,0.000224,0.328,-1,0.826,0.000944,F#,0.0818,-5.085,Major,0.0362,106.606,4-Apr,0.341,Alternative
50025,Coheed and Cambria,Three Evils (Embodied in Love and Shadow),1A5zoITPM3ecXZIyHmSFw0,39,0.00645,0.375,311880,0.952,2.21E-06,B,0.665,-6.164,Minor,0.209,166.891,4-Apr,0.321,Alternative
50026,Florence + The Machine,South London Forever,5mqbBZg2HeMvgMYfeGRGRM,56,0.613,0.676,-1,0.577,0.0013,A,0.195,-7.82,Minor,0.0274,107,4-Apr,0.49,Alternative
50027,The Unlikely Candidates,Ringer,6is8O0NV3moGc2eV0WbCtV,43,0.000171,0.569,178671,0.871,1.42E-05,F,0.325,-2.625,Major,0.0423,100.088,4-Apr,0.428,Alternative
50028,Vilma Palma e Vampiros,La pachanga,24OUTJgZif1CA1nemnDgXn,60,0.00244,0.681,281933,0.918,0.000535,A,0.119,-4.83,Minor,0.0508,105.031,4-Apr,0.551,Alternative
50029,The Wallflowers,Three Marlenas,7IfOWyh4jTfkcGVrXKVNq0,57,0.0154,0.619,299440,0.584,2.47E-05,G#,0.0873,-10.742,Major,0.0255,107.28,4-Apr,0.577,Alternative
50030,Jacob Collier,Make Me Cry,1FFwPJxL60iQPSmXK81t6q,36,0.917,0.563,232800,0.152,0.000171,D,0.139,-18.381,Major,0.05,121.09,3-Apr,0.223,Alternative
50031,MISSIO,Underground,6DnnRntEsEvWWycn2SZkQe,54,0.00295,0.604,-1,0.681,0.000315,C,0.0823,-5.99,Minor,0.0344,80.563,4-Apr,0.666,Alternative
50032,Bloodhound Gang,Fire Water Burn,57XbiF3mXSAXDntyEw57lW,55,0.107,0.692,291800,0.566,0.643,G,0.0862,-9.607,Major,0.0312,97.062,4-Apr,0.626,Alternative
50033,empty_field,Lavish Lullaby,7diyVXlxBDBJ9LTxedGv0P,57,0.252,0.839,197360,0.658,0.0202,D,0.149,-5.515,Minor,0.045,147.005,4-Apr,0.818,Alternative
50034,Built To Spill,Carry the Zero,7gDuP7JHRP6A9zwbTIA5gF,53,1.35E-05,0.264,-1,0.812,0.108,E,0.0962,-5.651,Major,0.031,94.095,4-Apr,0.458,Alternative
50035,empty_field,The Last Fight,22KINWTfu5fLjGRONbDjmx,50,0.000456,0.3,259307,0.971,0,G,0.283,-3.118,Major,0.142,184.536,4-Apr,0.336,Alternative
50036,ELHAE,Still Mine (feat. Wale),5Ihd9HrPvOADyVoonH9ZjB,51,0.337,0.568,-1,0.501,0,C#,0.105,-11.034,Minor,0.199,104.148,4-Apr,0.281,Alternative
50037,Filter,Welcome to the Fold,6tuT8Kv77Eo3cLCzvXLnlY,45,2.37E-05,0.503,460400,0.895,0.0354,G,0.319,-6.228,Major,0.0436,?,4-Apr,0.211,Alternative
50038,empty_field,In Bloom,4AKob6UC87vcDKj6ScSbR3,52,0.0682,0.454,240640,0.366,0.247,D,0.123,-8.98,Minor,0.0304,78.465,4-Apr,0.264,Alternative
50039,empty_field,Camped,049V1aSofNvW906vGZgFsD,51,0.69,0.632,220602,0.375,1.98E-05,G#,0.128,-13.582,Major,0.0422,133.009,4-Apr,0.342,Alternative
50040,Big K.R.I.T.,"""Blue Flame"" (Interlude)",150zGw0P2EJccYJKnFIler,7,0.19,0.715,26717,0.741,0,F#,0.213,-3.962,Major,0.538,124.641,1-Apr,0.774,Alternative
50041,Five Finger Death Punch,Crossing Over,39zkiaf96T7OuNES0VFbje,40,6.55E-05,0.378,174160,0.898,8.18E-05,B,0.28,-3.855,Minor,0.0639,?,4-Apr,0.128,Alternative
50042,Jhene Aiko,W.A.Y.S.,4w5bq4gcfDFCXJrrH7g1Ok,49,0.296,0.544,-1,0.611,0.0617,A,0.11,-8.555,Minor,0.146,?,4-Apr,0.418,Alternative
50043,empty_field,Spin You Around,6iZNsKs1tOJyKlYzBCpWfz,40,0.00791,0.478,-1,0.929,0,G#,0.0954,-2.999,Major,0.0433,92.022,4-Apr,0.521,Alternative
