instance_id,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
60001,Ash Grunwald,Whispering Voice (feat. Kasey Chambers),54hFBqrtiWfrh5WQJZwguj,34,0.0954,0.534,175832,0.517,0.0113,A,0.107,-7.734,Minor,0.0389,76.85,4-Apr,0.512,Blues
60002,Eric Lindell,It's My Pleasure,3esogDu1xpfphICWKjd8fp,24,0.0112,0.624,269960,0.817,0.00239,G,0.073,-4.938,Major,0.0435,90.205,4-Apr,0.785,Blues
60003,Omar Cunningham,Baby Don't Leave Me,0tpz3NfbuhUjQuuzKxYkfZ,30,0.388,0.766,341907,0.36,0,A,0.349,-6.206,Major,0.0523,?,4-Apr,0.44,Blues
60004,Band Of Skulls,In Love by Default,4uYamklPK5p87CZgrQDFD3,34,0.02,0.38,248578,0.847,0.00043,A,0.16,-4.492,Minor,0.0895,124.513,3-Apr,0.332,Blues
60005,Band Of Skulls,Black Magic,7eiMNmK2MyxpEJOEYGrSb0,48,0.00783,0.428,168937,0.966,0.000167,G,0.0719,-2.207,Major,0.116,166.06,4-Apr,0.505,Blues
60006,empty_field,People Get Ready,429EttO8gs0bDo2SQfUNSm,57,0.894,0.414,163360,0.249,8.37E-06,C#,0.188,-12.674,Major,0.0369,142.442,3-Apr,0.341,Blues
60007,Whitesnake,Fool for Your Loving - 2009 Remaster,3Gi1KZanZEKf9j9G9yVneI,35,0.00171,0.503,248547,0.943,4.10E-05,A,0.253,-4.951,Minor,0.0403,125.861,4-Apr,0.536,Blues
60008,Alice Cooper,Might As Well Be On Mars,2QWMlZTBznsuJKMUIKoz95,36,0.0919,0.386,428427,0.713,0.00244,B,0.276,-9.186,Major,0.0427,135.844,4-Apr,0.11,Blues
60009,Cage The Elephant,Instant Crush - Unpeeled,21JAKSrr9fAH0RRgQimfyJ,50,0.00939,0.588,309387,0.869,0,A#,0.132,-5.304,Minor,0.0318,113.774,4-Apr,0.732,Blues
60010,Ella Fitzgerald,Someone To Watch Over Me,3xwzH0BkmYglB4Hpp1D9DM,43,0.99,0.394,196667,0.0962,4.65E-06,E,0.122,-13.875,Minor,0.0362,113.133,4-Apr,0.212,Blues
60011,Jeff Floyd,Lock My Door,2rM0fvLBxBsXVeNifwAePp,27,0.258,0.718,353547,0.819,1.35E-06,A#,0.168,-3.364,Major,0.0356,97.036,4-Apr,0.929,Blues
60012,Atlanta Rhythm Section,You're so Strong,5hTCdpA9lK8hM8yquvNozv,32,0.163,0.483,300573,0.449,0.252,B,0.0863,-10.604,Minor,0.0302,78.608,4-Apr,0.295,Blues
60013,Jonny Lang,Second Guessing,1cZfcbIJLHaJ0cXdsqAufP,25,0.0361,0.666,310267,0.787,0.00206,C,0.0758,-5.207,Major,0.0279,100.327,4-Apr,0.89,Blues
60014,Justin Townes Earle,What's She Crying For,6HMHgBHdLBQ0QYIaOp2gse,33,0.381,0.538,233707,0.638,0.0402,C#,0.0966,-8.124,Major,0.0375,?,4-Apr,0.472,Blues
60015,Eric Clapton,Help the Poor,0NIboN7iVLUM33gBwF0eTe,38,0.585,0.828,306293,0.605,0.00142,G,0.247,-7.083,Minor,0.0312,107.186,4-Apr,0.959,Blues
60016,Tedeschi Trucks Band,Part of Me,1jUyxF7NmNXGlZQDVw40O8,51,0.434,0.679,246573,0.608,1.33E-05,G,0.0942,-8.334,Major,0.034,111.803,4-Apr,0.735,Blues
60017,Nazareth,Please Don't Judas Me,2fQ6sBFWaLv2Gxos4igHLy,25,0.00395,0.431,587800,0.257,0.0017,D#,0.0679,-15.526,Minor,0.0313,124.374,4-Apr,0.187,Blues
60018,Lightnin' Hopkins,Bring Me My Shotgun,4hRSKLxWptKUvKF7wr60B2,33,0.956,0.609,241493,0.22,0.0836,D,0.112,-14.68,Major,0.0402,154.329,3-Apr,0.443,Blues
60019,Ella Fitzgerald,Cry Me A River,4nBhFRE15WRXXI6lVErPMH,42,0.963,0.44,256867,0.147,0,G#,0.1,-12.761,Minor,0.0359,132.613,4-Apr,0.354,Blues
60020,Stevie Ray Vaughan,"Live Another Day - Live at Steamboat 1874, Austin, TX - April 1980",0zmscvpoC8wBdQlPHvtlCt,32,0.00326,0.428,-1,0.791,0.000471,A,0.961,-8.725,Major,0.0419,121.703,4-Apr,0.669,Blues
60021,Jimmy Smith,Mellow Mood,14GSYJZU5ZiYcCQ3AJabYt,36,0.932,0.494,522907,0.373,0.826,C,0.105,-16.748,Minor,0.0417,155.94,4-Apr,0.846,Blues
60022,Deep Purple,Smoke on the Water,38oCsItJ7oPw6gmVtEL4D1,62,0.0983,0.632,-1,0.586,0.581,C,0.0535,-11.333,Major,0.0284,114.243,4-Apr,0.89,Blues
60023,Thee Oh Sees,Plastic Plant,6CuyrrYocQM2jVtPaVtGX1,36,6.28E-05,0.387,339960,0.747,0.407,F,0.272,-8.978,Minor,0.0694,?,4-Apr,0.105,Blues
60024,Jack White,Love is the Truth - Acoustic Mix,0tcTnI249eQ6QzCt1i8Mzk,27,0.631,0.633,-1,0.345,0.000152,C,0.141,-11.576,Major,0.0651,123.104,4-Apr,0.436,Blues
60025,Albert King,Cold Feet,1lSqu7LFx7v51aGMeKVYaI,27,0.196,0.688,165947,0.555,0.557,C#,0.294,-6.014,Major,0.0612,81.122,4-Apr,0.643,Blues
60026,X,Wild Thing - 45 Version,58wWZX8a2sRCe213b9hjG5,37,0.0608,0.424,211640,0.915,0.00516,E,0.588,-8.816,Major,0.0634,108.468,4-Apr,0.273,Blues
60027,Jaye Hammer,Party Mood,6GeD5g9vZTz25Egf8kxoIY,26,0.0978,0.757,271907,0.545,0.000115,A#,0.0481,-7.337,Minor,0.0936,?,4-Apr,0.785,Blues
60028,Dr. John,Danse Fambeaux,2LqbQ4a77YlutcDzVWlso0,34,0.201,0.651,296253,0.376,0.396,F,0.0405,-15.666,Major,0.0442,91.593,4-Apr,0.59,Blues
