instance_id,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
80082,The Smashing Pumpkins,"Tonight, Tonight - Remastered 2012",2s5o6GOB4qtFEzNLddTekz,68,6.28E-05,0.287,254627,0.67,0.748,F#,0.237,-9.381,Major,0.0368,148.928,4-Apr,0.222,Children's Music
80083,Three Days Grace,Scared,1tNpKFX4YgTN4ZusoC5p79,52,0.000179,0.525,193120,0.886,0,D,0.0921,-5.328,Major,0.069,118.055,4-Apr,0.389,Children's Music
80084,Manhattan School of Music Children's Festival Chorus,Feel Good,56h3v9zaotemQ0NB21dlkg,0,0.99,0.399,-1,0.142,2.97E-05,C,0.75,-21.462,Major,0.132,154.34,4-Apr,0.441,Children's Music
80085,Nothing But Thieves,Trip Switch,4LQEoFq5xbhuaBVujKsRYS,59,0.0188,0.615,181133,0.798,0.0081,A#,0.0995,-4.163,Minor,0.0815,?,4-Apr,0.753,Children's Music
80086,empty_field,Dance Club Mix,33QRsLBBdWDYgCZfWEZqR6,0,0.197,0.605,200600,0.856,0.563,F,0.0577,-9.358,Major,0.0556,?,4-Apr,0.936,Children's Music
80087,Skan,No Glory (feat. M.I.M.E & Drama B),78ksV1AfOBtIOnFuO8qddH,59,0.00725,0.495,-1,0.834,4.00E-05,E,0.126,-4.731,Minor,0.0967,150.049,4-Apr,0.247,Children's Music
80088,Jakob Ogawa,You Might Be Sleeping,2BSNjc50XadJ9Vf7PeytE5,58,0.719,0.587,147093,0.561,0.342,G,0.168,-9.249,Major,0.0264,92.602,4-Apr,0.511,Children's Music
80089,Avenged Sevenfold,Victim,4a92XwkRTBH2oOCbrfPWXK,55,0.00395,0.547,449720,0.831,8.08E-06,C,0.12,-5.06,Minor,0.0324,130,4-Apr,0.101,Children's Music
80090,Shoffy,Cool Again,3cV6yvwBlRPD24t6Hbk4L0,73,0.443,0.774,191935,0.45,3.28E-05,B,0.127,-6.86,Major,0.0896,90.055,4-Apr,0.648,Children's Music
80091,Nine Inch Nails,Dead Souls,7Lzn4u1V6HqtsbnBe0o69O,48,0.000885,0.506,293693,0.81,0.796,F,0.0892,-8.865,Minor,0.0473,99.313,4-Apr,0.728,Children's Music
80092,Kimbo Children's Music,Dancing Dragon,5pNYiMbnXm7UkewX2KhmyK,0,0.754,0.856,-1,0.391,0.000364,D,0.051,-12.154,Major,0.0616,128.72,4-Apr,0.679,Children's Music
80093,Kimbo Children's Music,Three Blind Mice,5tyznRXlcIx0XlQ7S8iCMW,0,0.888,0.822,40133,0.392,3.91E-06,G,0.101,-12.003,Major,0.233,121.839,4-Apr,0.446,Children's Music
80094,Children Songs Company,New Year,7vFQliBjsAIfpteEzYOCOS,0,0.359,0.921,194213,0.503,2.25E-06,G,0.11,-11.562,Major,0.372,124.38,4-Apr,0.491,Children's Music
