instance_id,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
201920,empty_field,"Snoop Dogg, Sean Connery, And Other Perfect Impressions",2wpIImsIxXpYonnrGr0CdW,17,0.679,0.569,219367,0.419,0,C,0.761,-15.011,Minor,0.917,?,5-Apr,0.766,Comedy
201921,Andrew Dice Clay,Moby And The Japs,0LQsM0KYkSyCdN6TCo63vp,14,0.7,0.639,51093,0.657,0,A#,0.79,-13.496,Major,0.948,?,4-Apr,0.696,Comedy
201922,Tig Notaro,Baby Shower,7A1dkV9p6d9IH2NiV5yCsQ,21,0.904,0.476,-1,0.83,0,C#,0.652,-10.822,Major,0.92,93.197,4-Apr,0.66,Comedy
201923,Bill Hicks,I'm Talking to the Women Here,4ccUbonjlrtOERG28Alqrs,18,0.836,0.573,70667,0.849,0,C#,0.747,-8.196,Major,0.88,97.225,4-Apr,0.556,Comedy
201924,George Lopez,Team Leader,3fDsErbmOD3TuaSDuxSXav,26,0.86,0.483,142400,0.774,5.84E-06,E,0.954,-12.429,Major,0.898,122.128,3-Apr,0.346,Comedy
201925,Bill Engvall,Not On My Bucket List,7fwfp0NJ8DRjNf5pwT4e01,14,0.852,0.64,533013,0.96,0,F#,0.97,-5.543,Minor,0.938,100.748,4-Apr,0.12,Comedy
201926,Todd Glass,Dinner Party,55gw1V0tW0aQ8EA37YG0FJ,21,0.831,0.527,493160,0.75,0,F#,0.899,-5.413,Major,0.796,158.037,5-Apr,0.813,Comedy
201927,empty_field,Cool Guy 1,0NJ1LV5VblYyJsJt3EbAx7,16,0.263,0.6,57307,0.303,0,C,0.142,-19.329,Major,0.825,125.275,3-Apr,0.648,Comedy
201928,Gary Gulman,Hanukkah,2QPSVqeCYIViuRGMPd4WD1,16,0.736,0.693,221440,0.272,0,G#,0.812,-22.272,Major,0.948,88.334,4-Apr,0.469,Comedy
201929,Christian Finnegan,Old-Timey,3MXxV2BQjMEhZmTtLkIOPz,23,0.88,0.622,104520,0.735,0,G,0.856,-11.634,Minor,0.941,84.315,3-Apr,0.308,Comedy
201930,Steve Harvey,The Preacher,0gZOFi4nhDOGtW17pSU4tZ,21,0.739,0.55,-1,0.704,0,F,0.707,-7.807,Major,0.858,93.481,3-Apr,0.455,Comedy
201931,Artie Lange,Tom Brady,1hKJ9rIQuhVcU4ur6uH9zx,36,0.746,0.529,234173,0.969,0,C#,0.879,-7.215,Major,0.906,128.217,4-Apr,0.15,Comedy
201932,George Carlin,Unrelated Things,4DV1hJpmfWAMI5GSeO73cS,11,0.599,0.468,141987,0.322,0,B,0.674,-21.357,Major,0.628,111.603,4-Apr,0.339,Comedy
