instance_id,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
308860,Bedouin,Wastelands - Original Mix,0drTByxQx8aMHzotZG3LDS,33,0.0021,0.807,475545,0.538,0.884,E,0.0627,-13.241,Minor,0.0615,117.998,4-Apr,0.203,Electronic
308861,Little Dragon,In My House,4T9Jpft8jvZAP57aE3VdCt,45,0.189,0.88,356834,0.359,0.0631,C,0.128,-12.458,Major,0.0666,118.006,4-Apr,0.281,Electronic
308862,Bassnectar,Whiplash (feat. Reeps One),0YKvEXArXE4GeGzqCsaifN,50,0.00549,0.739,289286,0.909,4.70E-05,C#,0.0782,-2.942,Major,0.355,?,4-Apr,0.35,Electronic
308863,empty_field,Meet You At Tower Records,5YF9LcLUnzyiiPul1DyZwa,34,0.0565,0.587,317647,0.556,0.551,D,0.114,-10.504,Major,0.0664,?,4-Apr,0.268,Electronic
308864,Yael Meyer,The Hunt,7amv42nfF6VsxW1S999wtZ,27,0.279,0.431,227370,0.537,0.895,G#,0.12,-8.978,Major,0.0329,129.874,4-Apr,0.0563,Electronic
308865,Mo' Horizons,Yes Baby Yes,1yhyrOuZOURI1ynOZVkoWH,55,0.283,0.683,300693,0.673,0.422,D,0.152,-9.593,Major,0.0365,?,4-Apr,0.81,Electronic
308866,empty_field,Breathe (Zeds Dead Remix),0TS5ZQrfnhhLS7BQCwhliy,43,0.175,0.672,276387,0.989,0.596,D#,0.284,-2.425,Minor,0.164,125.998,4-Apr,0.156,Electronic
308867,DROELOE,Step By Step - Fytch Remix,7i5NbxA7ONWkmjtW2kXdQP,34,0.0149,0.443,-1,0.833,0.451,B,0.187,-5.599,Minor,0.109,?,4-Apr,0.204,Electronic
308868,Stooki Sound,Uppers,2q1LwxkM3q9L96cPrykyzd,39,0.00842,0.787,217538,0.782,0.911,G#,0.117,-8.936,Minor,0.44,129.979,4-Apr,0.503,Electronic
308869,empty_field,Lost Lands 2017 Mix,4cbEOjvilRMDX0YML5YPWi,41,0.00164,0.467,4830606,0.948,0.0103,C#,0.405,-1.929,Major,0.299,148.898,4-Apr,0.317,Electronic
308870,Doctor P,Going Gorillas,78J9MBkAoqfvyeEpQKJDzD,32,0.00264,0.528,-1,0.94,0.509,A#,0.686,-1.895,Minor,0.0453,?,4-Apr,0.0913,Electronic
308871,empty_field,Bang Bang 99,0LppLsxXXDBTqihx84BJGo,51,0.292,0.61,176466,0.808,0.0261,C,0.352,-8.04,Major,0.175,128.013,4-Apr,0.208,Electronic
