instance_id,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
43000,Toro y Moi,Omaha,6n7gBJAXX8YyFfant646jv,57,0.0645,0.618,196791,0.498,0.0301,D#,0.291,-8.29,Major,0.0259,80.055,4-Apr,0.818,Folk
43001,Michelle Branch,Everywhere,4hVGamTpzn37mobiFkhvFC,66,0.0136,0.523,214827,0.828,0.000255,C#,0.165,-4.696,Major,0.0762,96.952,4-Apr,0.476,Folk
43002,empty_field,Take Good Care Of My Baby - 1990 Remastered,5Iyy6SFKa23deSTyFwNeLI,64,0.698,0.491,150867,0.431,0,C#,0.124,-12.257,Major,0.0609,82.443,4-Apr,0.661,Folk
43003,"10,000 Maniacs",Because The Night [MTV Unplugged Version],42T2QQv3xgBlpQxaSP7lnK,64,0.26,0.408,-1,0.79,0.00027,B,0.765,-8.138,Minor,0.103,122.624,4-Apr,0.347,Folk
43004,Of Monsters and Men,I Of The Storm,484FyZpfI996XCNCg1a0VV,54,0.15,0.381,276467,0.446,0.0196,D,0.15,-9.813,Major,0.0325,176.394,4-Apr,0.133,Folk
43005,Rainbow Kitten Surprise,Mission to Mars,3VhAS0ferVrcN4ANKnGCmM,54,0.623,0.691,154213,0.482,0.00671,G,0.208,-10.954,Major,0.201,160.072,4-Apr,0.433,Folk
43006,Alanis Morissette,Uninvited,5JOojkgB7u8aGITvurei28,57,0.0223,0.38,-1,0.538,0.00487,D,0.094,-5.493,Major,0.0313,?,4-Apr,0.193,Folk
43007,Florence + The Machine,Never Let Me Go,6E0cMFOToYiZ73aSao2T7I,57,0.287,0.47,271013,0.742,2.57E-06,A,0.381,-3.243,Major,0.0383,144.76,4-Apr,0.253,Folk
43008,empty_field,Dancing in the Dark,29YDZUNKvBI2I64TvLj1Wt,65,0.903,0.463,-1,0.153,1.23E-05,D,0.152,-14.082,Major,0.0385,73.506,4-Apr,0.254,Folk
43009,Ben Howard,To Be Alone,4n0YlirzrrK41tWdJvgI1V,46,0.507,0.275,-1,0.452,0.423,E,0.138,-12.548,Minor,0.0411,144.125,4-Apr,0.216,Folk
43010,isaac gracie,love (aint always so good),0Z7cJizY93V2SGCpNKYV2j,56,0.93,0.535,-1,0.0609,0.000144,B,0.106,-17.805,Major,0.0542,?,3-Apr,0.172,Folk
43011,Bahamas,Waves,1tPj5PrMvLL3EEmzHIhNMU,49,0.531,0.552,-1,0.529,8.87E-05,C#,0.134,-7.415,Major,0.0279,94.683,4-Apr,0.293,Folk
43012,The Shins,Know Your Onion!,3zb9MhXXqOdWF0joH7bUPK,46,0.53,0.487,-1,0.614,7.20E-05,E,0.143,-6.771,Major,0.0569,137.406,4-Apr,0.61,Folk
43013,The Troggs,Wild Thing,4tK4ARuilOrBzwVQK73E0Y,51,0.741,0.458,-1,0.853,0.0215,A,0.0851,-8.575,Major,0.139,202.509,4-Apr,0.671,Folk
43014,Darlingside,Singularity,1xvkcmUNDoNpuI9JSyUc4Z,47,0.616,0.437,-1,0.336,0.0428,D,0.286,-9.756,Major,0.0298,129.974,4-Apr,0.178,Folk
43015,empty_field,Your New Twin Sized Bed,2wPFy7SAFnt9Nj2TipWcqb,47,0.301,0.576,186307,0.595,0.0525,D#,0.0665,-9.54,Major,0.0289,85.087,4-Apr,0.659,Folk
43016,(Sandy) Alex G,Salt,5mw3voQCXirCMuiaiR5o2h,42,0.644,0.715,279678,0.523,0.185,E,0.222,-9.647,Major,0.0268,137.045,4-Apr,0.33,Folk
43017,empty_field,Up Where We Belong,6dsq7Nt5mIFzvm5kIYNORy,49,0.597,0.573,233240,0.429,8.18E-05,D,0.0839,-8.68,Major,0.0294,139.097,4-Apr,0.361,Folk
43018,Andrew Belle,I Won't Fight It,66uVqkmHAc0MBUzoPhIypN,50,0.533,0.288,331126,0.508,0.626,E,0.0909,-8.663,Major,0.0367,155.921,4-Apr,0.0382,Folk
43019,Axel Flovent,Forest Fires,6FhYdu1eAu5QNhSsH5MYGk,61,0.698,0.623,210925,0.292,9.86E-06,G,0.121,-12.26,Minor,0.0313,118.007,4-Apr,0.161,Folk
43020,T. Rex,Jeepster - Remastered,5F9jaKjBTPTOT4VanVoKXe,42,0.0491,0.565,252440,0.761,0.00322,B,0.0442,-9.88,Minor,0.0487,94.893,4-Apr,0.925,Folk
