instance_id,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
70991,empty_field,Zombie (feat. Rich Brian),2cTQCdODPsunMoShqfeaRf,55,0.0319,0.88,-1,0.705,0,A#,0.333,-5.398,Minor,0.244,124.042,4-Apr,0.327,Hip-Hop
70992,Logic,City Of Stars,7n7aetN8I6fbyfGum2jtSG,60,0.119,0.464,376640,0.873,0.0245,C,0.225,-5.793,Major,0.135,90.137,4-Apr,0.607,Hip-Hop
70993,TobyMac,Me Without You,6IaQbSPciJ5iOTD1JNd3DG,55,0.00247,0.775,214665,0.785,0,G,0.0669,-3.503,Minor,0.0411,130.029,4-Apr,0.963,Hip-Hop
70994,EARTHGANG,Build,4hVOHkdLK2ieBYVZB7f8x9,51,0.357,0.697,-1,0.803,1.22E-06,A#,0.132,-3.841,Minor,0.295,?,4-Apr,0.681,Hip-Hop
70995,Tyga,Holdin On (feat. 24hrs),5CiOCxc3argOhj5qKNZGN0,57,0.41,0.792,-1,0.577,0.000978,G,0.0924,-6.193,Minor,0.146,117.946,4-Apr,0.418,Hip-Hop
70996,Roy Woods,Say Less,0aRiMAA8tDopLimDxIKTaB,60,0.477,0.694,187066,0.259,0.00018,D#,0.0697,-13.388,Minor,0.102,?,4-Apr,0.295,Hip-Hop
70997,TLC,What About Your Friends,0PihaTQMFOnoabsxq3KMRI,59,0.0267,0.744,293600,0.851,0.00738,A#,0.0989,-10.108,Minor,0.049,105.882,4-Apr,0.626,Hip-Hop
70998,Childish Major,NoEyeInTeam,4LELufZmfxlbaw6SUzt3d6,55,0.0763,0.772,172116,0.691,0,C#,0.119,-4.603,Minor,0.181,145.046,4-Apr,0.501,Hip-Hop
70999,empty_field,French Inhale - feat. Mike Posner,2mfahQ0EaaZWq4cFNg6A1o,59,0.137,0.634,159360,0.862,0,F#,0.119,-5.421,Major,0.132,80.744,4-Apr,0.411,Hip-Hop
71000,Jaden Smith,Falcon (feat. Raury),6NSJOIyKYcRZh28Kf0URTw,55,0.233,0.715,223903,0.722,0.000392,A#,0.108,-7.713,Major,0.34,132.984,4-Apr,0.134,Hip-Hop
71001,empty_field,Who Do You Love?,0C1xPC21WBle1r4HN2QNly,67,0.0281,0.676,233507,0.415,0,A,0.0915,-9.752,Major,0.508,193.206,4-Apr,0.146,Hip-Hop
