instance_id,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
135000,empty_field,Hey Girl,3oYIm3GyXki3zEX6It90Wi,28,0.00109,0.629,73440,0.915,0.00103,D,0.158,-5.342,Major,0.0387,?,4-Apr,0.779,Ska
135001,empty_field,Say It Ain't So,6q9sHZxvSeSAcGZi1LbGCZ,21,0.00107,0.446,209500,0.862,0.0347,G#,0.121,-6.447,Major,0.0804,179.863,4-Apr,0.335,Ska
135002,empty_field,Failed State,0AMg7Zy6l3JJ2kj1Q4L5JW,16,0.000267,0.224,146813,0.968,0.000311,D,0.22,-3.617,Major,0.153,164.445,4-Apr,0.483,Ska
135003,Soda Stereo,Crema De Estrellas - Remasterizado 2007,0LPx8WfsRrXCF92YtINFtN,50,0.2,0.531,277120,0.372,0.00159,D#,0.345,-11.834,Major,0.0254,137.46,4-Apr,0.0874,Ska
135004,Inspector,Ska Voovee Boobie Baby,6AKYhRh9Oz1nzscR5kZS7T,43,0.315,0.648,203867,0.928,0,F,0.127,-2.857,Major,0.0402,169.963,4-Apr,0.968,Ska
135005,empty_field,Tulips and Heather,1qEHgdFqUxFebMPk8s2HLY,21,0.84,0.745,-1,0.296,9.33E-05,D#,0.171,-10.788,Major,0.0396,101.383,4-Apr,0.961,Ska
135006,Propagandhi,Head? Chest? Or Foot?,58S5c15bTPMKVkYKWVN5AJ,31,0.00429,0.492,124427,0.967,0.000688,A,0.184,-4.796,Major,0.0625,100.678,4-Apr,0.741,Ska
135007,Raskahuele,Persistes,0L7UIBLY8mhyWn4En6TOhH,14,0.0148,0.563,211068,0.787,0.0352,D,0.0943,-5.844,Minor,0.0436,163.718,4-Apr,0.796,Ska
135008,Lagwagon,Stokin' the Neighbors,7fXSpSWwbaFd0gPdjWF2Ef,36,0.000218,0.447,187133,0.915,0,E,0.0808,-4.301,Minor,0.125,102.224,4-Apr,0.606,Ska
135009,Reel Big Fish,F*ck Yourself,0TbP1ASV5mBpwpME75LWRA,16,0.0103,0.38,165000,0.725,0.000305,A,0.205,-7.719,Major,0.0363,?,4-Apr,0.882,Ska
