instance_id,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
168000,Broods,Bridges,476fkloGbPggQyYPOhKr3v,57,0.0185,0.405,-1,0.64,0,E,0.103,-6.374,Minor,0.144,169.913,4-Apr,0.265,Soul
168001,Maribou State,Vale,0v1wsyUb3UplLdgcdTbUEd,53,0.388,0.693,247623,0.67,0.772,B,0.152,-8.863,Minor,0.0425,?,4-Apr,0.725,Soul
168002,The Isley Brothers,Voyage to Atlantis,3T5mo7mlf8vtRrtEPpOFmY,45,0.0611,0.56,270200,0.395,0.000328,B,0.113,-11.073,Minor,0.0271,74.619,4-Apr,0.518,Soul
168003,Warm Brew,The Mission,08Uo3zW1IQUJgX5Otw5uox,35,0.309,0.658,326600,0.677,0,C#,0.136,-6.159,Minor,0.471,144.028,4-Apr,0.358,Soul
168004,Ari Lennox,No One,6IGejZNdxjCsWQumaHD6LE,48,0.127,0.601,-1,0.736,0.0651,A,0.0383,-6.283,Major,0.185,?,4-Apr,0.255,Soul
168005,Leon Bridges,Beyond (feat. Luke Combs) - Live,4uY5Ha1kmPqMoBiDWyHQr3,57,0.455,0.619,246947,0.623,0,B,0.167,-6.33,Major,0.0328,76.037,4-Apr,0.309,Soul
168006,empty_field,The Night,6DI235reJphp2Sgi72yan1,42,0.197,0.667,302487,0.558,3.14E-06,A,0.176,-5.743,Minor,0.0364,140.016,4-Apr,0.402,Soul
168007,Betty Wright,Clean Up Woman,3ugiRcjam4qDXqOWkMpoUp,60,0.566,0.865,-1,0.652,0.000919,F,0.0833,-9.046,Major,0.143,90.081,4-Apr,0.829,Soul
168008,Hayden James,Something About You - ODESZA Remix,2JfzaQcU2cUw1eRkTff0nn,65,0.0216,0.709,343800,0.669,0.0125,B,0.146,-8.422,Minor,0.0409,105.004,4-Apr,0.106,Soul
168009,Cathedrals,Harlem,1ylzYcU6FGnuBqqdqqH7QL,43,0.00626,0.532,246441,0.632,0,G,0.0978,-5.419,Minor,0.0366,143.983,4-Apr,0.402,Soul
168010,Sade,The Sweetest Taboo,6kP92fKzIyVJtNobCRsZ6G,60,0.128,0.752,-1,0.824,0.0103,A#,0.306,-9.455,Minor,0.0447,?,4-Apr,0.961,Soul
168011,St. Paul & The Broken Bones,Mr. Invisible,2Fh8q3YYsCG0VlNeJ3rb2w,42,0.134,0.656,268908,0.734,0.294,G,0.0875,-7.295,Major,0.0829,78.287,4-Apr,0.436,Soul
168012,D'Angelo,Back to the Future (Part II),3T76zPJz3tWL27FrjJe2ot,39,0.131,0.872,144813,0.527,0.000122,D,0.153,-8.24,Major,0.402,?,4-Apr,0.624,Soul
168013,Jodeci,Get On Up,5nVt82S763PXiybuJpprTD,47,0.587,0.713,225933,0.578,0,B,0.452,-7.799,Major,0.233,93.103,4-Apr,0.66,Soul
168014,Jessie Ware,Thinking About You,5axOkQnmQmwtjr4bv1Xt7i,40,0.462,0.437,208747,0.534,0.00194,A,0.0915,-9.501,Major,0.0606,?,3-Apr,0.154,Soul
168015,Col3trane,Language (feat. Ebenezer),5GsMJInonlNJWpYEqrmGRQ,45,0.101,0.613,180277,0.459,0,A,0.161,-5.785,Major,0.408,184.037,4-Apr,0.757,Soul
